MinPts,Epsilon,Percentilis,Klaszterek,Noise (%),Max Klaszter (%),Silhouette,Davies-Bouldin,Calinski-Harabasz,Balance Score,Combined Score
10,0.27001072688630295,99,3,0.7453938200880317,99.93091768061684,0.6415136139927551,0.2592437062036628,261.9126890863098,0.5967884892513854,0.663978984574883
20,0.18987490748958405,97,4,2.2184866514786226,99.85296778863554,0.5566827701949866,0.392664487914933,193.31341157419158,0.580285016286645,0.6397019269298995
20,0.12677634031673612,95,5,3.5389617570945124,99.64229208227282,0.4383866725668385,0.4336857576901014,227.89295636918317,0.5705668294696292,0.6151547815137662
20,0.38783676263659317,99,2,0.6834619893388777,99.9398690481493,0.7212892386411792,0.24458166846598794,516.0997809962256,0.2801202619037014,0.4542775691287678
10,0.11804444181632796,97,16,2.2007918426931496,99.46851818346299,0.3736888387283487,0.4938691236414692,145.05199291155026,0.3433441514383933,0.4463942318161276
20,0.0943805024554878,90,13,7.794563270000664,99.002086981553,0.18220393150394087,0.5676237438870109,170.07071667332994,0.3467988175616452,0.4200897620187428
4,0.0009853083444306132,50,1853,42.96520758222556,3.1528736523695025,0.4685987275407467,0.2793203999880047,80182.66805798991,0.2516068693424969,0.39641461767085984
4,0.0016421805740509804,60,1703,35.16843246112672,3.3605131179420695,0.3570632471155103,0.28995009218764256,24677.207260175885,0.2370895130286532,0.36952214618738377
20,0.007554030640634535,50,132,44.96914467718033,5.12459807073955,0.25663543130338784,0.5704783452022386,31012.97827256771,0.2310761960440417,0.35024865192633736
10,0.003612797262912165,50,391,43.487204441397004,4.755381604696673,0.2548320152457168,0.39482716477034163,18490.562912468075,0.22264410088037595,0.3440756729031207
20,0.06092489929729149,85,62,12.923845966689523,4.882137776874619,0.04289678207990098,2.740308298308313,7296.84200971273,0.2660845881049616,0.34269372898545825
20,0.026603325299625925,75,83,21.8132755302913,5.075108206738522,0.12294027195169172,1.483768301657867,12205.10544760716,0.2448933440628337,0.3398663816367373
20,0.012152136247977258,60,118,35.619650085156266,5.239289517985364,0.1864917776430924,0.7460547667429314,20002.5426715288,0.23072294334230273,0.3394798269860757
4,0.0026274889184816352,70,1447,26.228130322266708,3.675831259556862,0.2218477216465881,0.31550207881708986,8847.58277261723,0.22246772959586184,0.3390045689640915
20,0.0197061668886118,70,97,26.325451770586806,5.079708186976493,0.15191725871370912,1.0902461555340413,13452.051936383983,0.23591679967613466,0.3379293485803506
20,0.038755461547603204,80,80,17.077702329079205,4.9986663110162715,0.0710803606083019,1.8162336053341217,8829.545929910551,0.24682782075220056,0.33344152861778564
4,0.003612797262912193,75,1239,21.79115701930946,3.7416216521960464,0.20061774494844598,0.3272990665923453,6720.478702657239,0.21555531763314786,0.3309813840854704
10,0.005583413951773343,60,339,34.75039260356993,4.535593220338983,0.17708416531693666,0.45499478346371947,12906.714071669414,0.2162239688015599,0.3279194029586324
4,0.005583413951773308,80,1033,17.27676892791577,4.352941176470588,0.20354591800586788,0.3530935418497429,4176.483284648247,0.20791407612943968,0.32607174099148795
10,0.009196211214685506,70,281,25.615447568069715,5.0044603033006245,0.12677411104562217,0.5670871657025737,7598.122274115354,0.21039534266028787,0.3162928565190448
10,0.012480572362787472,75,240,21.251465351352547,4.749599752829817,0.12781899234458852,0.6690157629299497,6156.0897829764,0.2090678922188205,0.3155203734048626
10,0.05254977836963137,90,114,8.382915662117627,4.76087009005094,0.02474937244426936,2.0484396783636383,3234.617259255779,0.22673454900620374,0.312426590170983
10,0.02857394198848706,85,165,12.572161642078255,4.7435929870721285,0.06500636906315814,1.1757424238334966,4004.1277361539446,0.2139057613859648,0.3094849883296491
10,0.017735550199750594,80,204,17.10203269115923,4.781344219429547,0.0746870927511414,0.8343605330688406,5137.759770088911,0.21036909035072712,0.30846142715818015
4,0.008539338985065148,85,784,13.041074074893277,4.37237695536055,0.12122643161387227,0.4075510870297197,2584.5500126673446,0.20010121675530185,0.3082548164707921
4,0.015764933510889367,90,596,8.48244896153591,4.386600928074246,0.0790546960666773,0.5386078170057699,1944.9934893511304,0.1962225905365494,0.29921401778558615
4,0.08759391181987848,97,218,2.519298400831656,4.597023053185696,-0.0071910219461589755,1.9165875031458428,1169.7163425205008,0.203039471690195,0.2910489768912127
4,0.042368258810515425,95,337,4.235694853022495,4.561622320768662,0.0016189500745939752,1.0802241444130705,1247.8261235300522,0.19604614210425889,0.28747514198417035
4,0.13818503986368397,99,36,0.8095375019353698,99.451443862192,0.4333979412259716,0.47581363439317176,121.69728760257263,0.08635732956727493,0.27545982188098816
10,0.09589080077722413,95,23,3.5013602884253836,99.22068396442651,0.04917093999550849,0.5643306074538442,111.0540197922266,0.0896906254858268,0.22015907883940503
