Klaszter,Klaszter_ID,Elemszám (db),Elemszám (%),Átlag age,Átlag balance,Min age,Max age,Min balance,Max balance
Noise,-1,7811,17.27676892791577,45.717961848674946,4952.111893483549,18,95,-8019,102127
Cluster_17,17,1628,3.6008935878436663,32.0,412.63329238329237,32,32,-428,1787
Cluster_40,40,1438,3.1806418791886926,31.0,284.3970792767733,31,31,-367,1145
Cluster_2,2,1435,3.174006325894141,33.0,286.65644599303135,33,33,-424,1173
Cluster_3,3,1421,3.1430404105195637,35.0,354.82758620689657,35,35,-295,1397
Cluster_47,47,1369,3.0280241534139924,34.0,282.3959094229364,34,34,-374,1137
Cluster_24,24,1270,2.8090508946937693,36.0,331.8771653543307,36,36,-207,1207
Cluster_28,28,1180,2.609984295857203,37.0,349.1076271186441,37,37,-178,1241
Cluster_45,45,1083,2.395434739333348,30.0,254.65927977839334,30,30,-71,818
Cluster_21,21,1039,2.2981132910132493,39.0,328.09528392685274,39,39,-328,1281
Cluster_19,19,917,2.0282674570347927,40.0,356.0588876772083,40,40,-130,1270
Cluster_35,35,916,2.0260556059366084,38.0,304.2194323144105,38,38,-165,1042
Cluster_9,9,862,1.9066156466346684,29.0,305.8155452436195,29,29,-167,1035
Cluster_8,8,809,1.789387538430913,41.0,320.3547589616811,41,41,-147,1113
Cluster_13,13,763,1.6876423879144458,45.0,290.88990825688074,45,45,-264,1009
Cluster_5,5,747,1.6522527703435004,42.0,266.3319946452477,42,42,-215,879
Cluster_7,7,735,1.6257105571652917,43.0,243.9904761904762,43,43,-291,918
Cluster_1,1,682,1.5084824489615358,44.0,289.58357771260995,44,44,-102,994
Cluster_37,37,668,1.477516533586959,46.0,261.5523952095808,46,46,-100,810
Cluster_51,51,609,1.3470173187940988,48.0,308.62068965517244,48,48,-110,981
Cluster_4,4,608,1.3448054676959147,28.0,187.88322368421052,28,28,-134,599
Cluster_36,36,607,1.3425936165977306,47.0,278.4200988467875,47,47,-18,846
Cluster_46,46,577,1.2762380836522085,27.0,212.5060658578856,27,27,-152,740
Cluster_52,52,488,1.0793833359138263,26.0,236.1045081967213,26,26,-46,725
Cluster_26,26,467,1.0329344628519608,49.0,191.33404710920772,49,49,-75,523
Cluster_22,22,458,1.0130278029683042,52.0,223.98034934497818,52,52,-63,698
Cluster_29,29,409,0.9046470991572847,50.0,141.36919315403424,50,50,-111,433
Cluster_12,12,392,0.8670456304881555,51.0,135.7372448979592,51,51,-35,441
Cluster_10,10,362,0.8006900975426334,53.0,157.7596685082873,53,53,-46,493
Cluster_31,31,361,0.7984782464444494,55.0,182.93628808864267,55,55,-53,578
Cluster_30,30,356,0.787418990953529,54.0,203.0561797752809,54,54,-24,559
Cluster_27,27,345,0.7630886288735043,59.0,159.3449275362319,59,59,-23,575
Cluster_43,43,344,0.7608767777753201,56.0,174.59593023255815,56,56,-59,510
Cluster_11,11,340,0.7520293733825839,57.0,154.84117647058824,57,57,-40,530
Cluster_6,6,261,0.5772931366260423,58.0,116.75862068965517,58,58,-37,388
Cluster_18,18,246,0.5441153701532813,25.0,139.58130081300814,25,25,-23,407
Cluster_14,14,228,0.504302050385968,60.0,121.39912280701755,60,60,-14,420
Cluster_115,115,207,0.4578531773241025,30.0,1112.0966183574878,30,30,835,1510
Cluster_174,174,140,0.3096591537457698,34.0,1348.3857142857144,34,34,1156,1614
Cluster_16,16,117,0.2587865784875362,56.0,705.6153846153846,56,56,527,882
Cluster_15,15,111,0.24551547189843181,28.0,785.8108108108108,28,28,616,981
Cluster_84,84,108,0.23887991860387958,37.0,1452.9814814814815,37,37,1255,1672
Cluster_49,49,106,0.23445621640751144,55.0,801.7641509433962,55,55,602,1011
Cluster_103,103,96,0.21233770542567074,47.0,1076.2916666666667,47,47,863,1245
Cluster_147,147,90,0.19906659883656633,58.0,670.7666666666667,58,58,494,855
Cluster_99,99,88,0.19464289664019818,45.0,1233.909090909091,45,45,1028,1416
Cluster_359,359,85,0.18800734334564598,36.0,1361.964705882353,36,36,1224,1531
Cluster_72,72,85,0.18800734334564598,51.0,560.4235294117647,51,51,462,684
Cluster_241,241,83,0.18358364114927783,33.0,1331.710843373494,33,33,1190,1481
Cluster_71,71,81,0.1791599389529097,24.0,72.22222222222223,24,24,-10,192
Cluster_140,140,80,0.1769480878547256,53.0,655.0375,53,53,513,813
Cluster_130,130,80,0.1769480878547256,31.0,1275.975,31,31,1164,1422
Cluster_98,98,80,0.1769480878547256,30.0,-199.4375,30,30,-346,-93
Cluster_231,231,75,0.16588883236380525,49.0,662.2,49,49,543,790
Cluster_93,93,71,0.157041427971069,50.0,785.9577464788732,50,50,663,917
Cluster_117,117,69,0.15261772577470084,38.0,1388.8260869565217,38,38,1255,1533
Cluster_44,44,67,0.1481940235783327,41.0,1303.044776119403,41,41,1165,1428
Cluster_245,245,65,0.14377032138196455,50.0,539.6461538461539,50,50,451,642
Cluster_38,38,57,0.126075512596492,53.0,976.578947368421,53,53,828,1103
Cluster_440,440,56,0.12386366149830794,39.0,1378.25,39,39,1293,1473
Cluster_177,177,55,0.12165181040012386,57.0,648.6727272727272,57,57,561,753
Cluster_78,78,55,0.12165181040012386,42.0,1001.4727272727273,42,42,898,1093
Cluster_248,248,55,0.12165181040012386,41.0,1556.1090909090908,41,41,1445,1680
Cluster_225,225,50,0.11059255490920351,52.0,990.3,52,52,894,1089
Cluster_407,407,47,0.1039570016146513,51.0,895.0212765957447,51,51,788,994
Cluster_132,132,45,0.09953329941828316,42.0,-337.93333333333334,42,42,-437,-245
Cluster_69,69,45,0.09953329941828316,57.0,991.7111111111111,57,57,873,1119
Cluster_112,112,44,0.09732144832009909,31.0,1804.2954545454545,31,31,1709,1914
Cluster_348,348,44,0.09732144832009909,34.0,1721.3636363636363,34,34,1632,1826
Cluster_102,102,43,0.09510959722191502,52.0,1352.906976744186,52,52,1227,1466
Cluster_48,48,43,0.09510959722191502,38.0,1643.6976744186047,38,38,1555,1746
Cluster_81,81,43,0.09510959722191502,42.0,1327.0,42,42,1260,1406
Cluster_353,353,42,0.09289774612373095,25.0,504.8095238095238,25,25,425,594
Cluster_179,179,41,0.09068589502554687,49.0,1105.3170731707316,49,49,1019,1180
Cluster_60,60,39,0.08626219282917874,46.0,957.974358974359,46,46,916,1008
Cluster_173,173,39,0.08626219282917874,38.0,-275.56410256410254,38,38,-367,-196
Cluster_144,144,38,0.08405034173099467,36.0,1788.921052631579,36,36,1694,1876
Cluster_305,305,37,0.0818384906328106,49.0,922.3513513513514,49,49,848,999
Cluster_145,145,35,0.07741478843644245,43.0,1089.4857142857143,43,43,1017,1159
Cluster_80,80,33,0.07299108624007432,50.0,1564.7878787878788,50,50,1484,1629
Cluster_392,392,33,0.07299108624007432,28.0,1077.4242424242425,28,28,1010,1154
Cluster_23,23,32,0.07077923514189025,46.0,-188.0625,46,46,-287,-119
Cluster_74,74,32,0.07077923514189025,54.0,869.0,54,54,810,925
Cluster_53,53,31,0.06856738404370617,52.0,769.741935483871,52,52,722,826
Cluster_141,141,31,0.06856738404370617,33.0,1756.9032258064517,33,33,1697,1817
Cluster_283,283,31,0.06856738404370617,46.0,1324.0,46,46,1251,1410
Cluster_164,164,31,0.06856738404370617,38.0,1111.5806451612902,38,38,1063,1165
Cluster_126,126,31,0.06856738404370617,36.0,-296.258064516129,36,36,-355,-251
Cluster_222,222,30,0.0663555329455221,31.0,-453.4,31,31,-513,-405
Cluster_146,146,30,0.0663555329455221,44.0,-204.36666666666667,44,44,-264,-137
Cluster_204,204,30,0.0663555329455221,27.0,1087.5666666666666,27,27,1000,1187
Cluster_200,200,30,0.0663555329455221,31.0,1621.4666666666667,31,31,1565,1686
Cluster_32,32,29,0.06414368184733803,54.0,1332.344827586207,54,54,1279,1394
Cluster_525,525,29,0.06414368184733803,49.0,-171.86206896551724,49,49,-249,-96
Cluster_203,203,29,0.06414368184733803,35.0,1501.7586206896551,35,35,1453,1557
Cluster_377,377,29,0.06414368184733803,56.0,985.1034482758621,56,56,934,1062
Cluster_138,138,28,0.06193183074915397,31.0,2035.642857142857,31,31,1957,2104
Cluster_66,66,28,0.06193183074915397,59.0,928.5357142857143,59,59,865,1002
Cluster_337,337,27,0.059719979650969895,54.0,1014.4814814814815,54,54,943,1090
Cluster_221,221,27,0.059719979650969895,23.0,11.25925925925926,23,23,0,43
Cluster_319,319,27,0.059719979650969895,26.0,793.2222222222222,26,26,744,834
Cluster_265,265,27,0.059719979650969895,39.0,1546.6296296296296,39,39,1492,1601
Cluster_520,520,27,0.059719979650969895,37.0,1748.111111111111,37,37,1689,1796
Cluster_191,191,26,0.05750812855278583,44.0,1065.1153846153845,44,44,1012,1109
Cluster_195,195,26,0.05750812855278583,27.0,812.6923076923077,27,27,760,843
Cluster_56,56,26,0.05750812855278583,51.0,1165.0,51,51,1113,1216
Cluster_471,471,26,0.05750812855278583,27.0,924.0,27,27,861,980
Cluster_108,108,25,0.05529627745460176,37.0,-283.6,37,37,-356,-224
Cluster_82,82,25,0.05529627745460176,46.0,857.96,46,46,829,897
Cluster_54,54,25,0.05529627745460176,44.0,1343.92,44,44,1305,1397
Cluster_383,383,24,0.053084426356417684,32.0,1842.875,32,32,1804,1883
Cluster_70,70,24,0.053084426356417684,24.0,401.9583333333333,24,24,358,456
Cluster_294,294,24,0.053084426356417684,48.0,1552.3333333333333,48,48,1492,1600
Cluster_452,452,24,0.053084426356417684,35.0,2771.9166666666665,35,35,2707,2830
Cluster_700,700,24,0.053084426356417684,59.0,1068.4583333333333,59,59,1021,1121
Cluster_389,389,23,0.05087257525823362,60.0,483.0869565217391,60,60,438,523
Cluster_39,39,23,0.05087257525823362,55.0,1195.608695652174,55,55,1150,1241
Cluster_634,634,23,0.05087257525823362,35.0,1723.1304347826087,35,35,1684,1772
Cluster_25,25,23,0.05087257525823362,57.0,814.9130434782609,57,57,772,856
Cluster_197,197,23,0.05087257525823362,54.0,754.7391304347826,54,54,707,791
Cluster_444,444,23,0.05087257525823362,30.0,1675.7391304347825,30,30,1622,1724
Cluster_293,293,23,0.05087257525823362,40.0,1531.8695652173913,40,40,1498,1576
Cluster_296,296,22,0.048660724160049545,41.0,2069.9545454545455,41,41,2002,2127
Cluster_431,431,22,0.048660724160049545,36.0,1983.3636363636363,36,36,1923,2054
Cluster_64,64,22,0.048660724160049545,22.0,26.90909090909091,22,22,-7,83
