Klaszter,Klaszter_ID,Elemszám (db),Elemszám (%),Átlag campaign,Átlag duration,Min campaign,Max campaign,Min duration,Max duration
Cluster_0,0,17423,38.53708168366106,1.0,250.72656832922,1,1,1,1344
Cluster_1,1,12423,27.477826192740707,2.0,264.64799162843116,2,2,0,1476
Cluster_3,3,5461,12.078918847183209,3.0,256.04046877861197,3,3,2,1297
Cluster_5,5,3438,7.604344075556833,4.0,225.29668411867365,4,4,0,1064
Cluster_4,4,1672,3.6982150361637656,5.0,184.2775119617225,5,5,6,747
Cluster_6,6,1222,2.702882041980934,6.0,171.82487725040917,6,6,6,705
Noise,-1,1117,2.4706376766716063,12.197851387645478,807.047448522829,1,63,5,4918
Cluster_7,7,664,1.4686691291942227,7.0,145.65813253012047,7,7,5,520
Cluster_8,8,486,1.0749596337174583,8.0,134.559670781893,8,8,7,442
Cluster_9,9,269,0.5949879454115149,9.0,115.23048327137546,9,9,6,338
Cluster_12,12,217,0.4799716883059433,10.0,99.3041474654378,10,10,6,272
Cluster_13,13,145,0.3207184092366902,11.0,80.96551724137932,11,11,7,212
Cluster_14,14,125,0.2764813872730088,12.0,109.88,12,12,7,288
Cluster_15,15,96,0.21233770542567074,13.0,66.35416666666667,13,13,6,171
Cluster_2,2,70,0.1548295768728849,1.0,1480.4714285714285,1,1,1346,1617
Cluster_16,16,69,0.15261772577470084,14.0,59.028985507246375,14,14,9,154
Cluster_18,18,52,0.11501625710557166,15.0,48.92307692307692,15,15,0,133
Cluster_19,19,47,0.1039570016146513,16.0,35.148936170212764,16,16,6,98
Cluster_20,20,37,0.0818384906328106,17.0,30.405405405405407,17,17,6,79
Cluster_17,17,35,0.07741478843644245,18.0,33.628571428571426,18,18,9,94
Cluster_10,10,35,0.07741478843644245,4.0,1161.1142857142856,4,4,1096,1217
Cluster_21,21,30,0.0663555329455221,20.0,26.466666666666665,20,20,4,89
Cluster_22,22,28,0.06193183074915397,19.0,33.07142857142857,19,19,9,85
Cluster_23,23,26,0.05750812855278583,21.0,37.03846153846154,21,21,11,88
Cluster_11,11,24,0.053084426356417684,5.0,803.7083333333334,5,5,763,846
